epoch,d_loss,g_loss,seconds,gan_type
1,1.528269,0.814868,12.76,conditional-projection-hinge
2,1.836287,0.571655,11.03,conditional-projection-hinge
3,1.855736,0.407369,12.44,conditional-projection-hinge
4,1.856547,0.386523,12.51,conditional-projection-hinge
5,1.822114,0.397917,11.93,conditional-projection-hinge
6,1.806646,0.404585,11.93,conditional-projection-hinge
7,1.820200,0.357537,11.19,conditional-projection-hinge
8,1.864624,0.327628,11.09,conditional-projection-hinge
9,1.859417,0.341870,12.29,conditional-projection-hinge
10,1.862924,0.323544,12.58,conditional-projection-hinge
11,1.853906,0.307087,12.82,conditional-projection-hinge
12,1.850129,0.327077,12.76,conditional-projection-hinge
13,1.844968,0.328182,12.55,conditional-projection-hinge
14,1.845924,0.296270,12.66,conditional-projection-hinge
15,1.836206,0.291756,12.77,conditional-projection-hinge
16,1.834627,0.283516,12.52,conditional-projection-hinge
17,1.831852,0.271843,12.60,conditional-projection-hinge
18,1.825790,0.295913,12.39,conditional-projection-hinge
19,1.830942,0.262735,12.57,conditional-projection-hinge
20,1.843157,0.243817,12.55,conditional-projection-hinge
21,1.851001,0.246947,12.56,conditional-projection-hinge
22,1.858704,0.236556,12.44,conditional-projection-hinge
23,1.857602,0.223851,12.64,conditional-projection-hinge
24,1.861740,0.222758,12.61,conditional-projection-hinge
25,1.863443,0.213729,12.39,conditional-projection-hinge
26,1.865529,0.211293,12.64,conditional-projection-hinge
27,1.867653,0.194945,12.60,conditional-projection-hinge
28,1.867377,0.211703,12.58,conditional-projection-hinge
29,1.867263,0.192643,12.46,conditional-projection-hinge
30,1.865245,0.188629,12.59,conditional-projection-hinge
31,1.865589,0.183839,12.56,conditional-projection-hinge
32,1.867831,0.165587,12.56,conditional-projection-hinge
33,1.867351,0.178122,12.54,conditional-projection-hinge
34,1.867015,0.179350,12.49,conditional-projection-hinge
35,1.867792,0.178024,12.77,conditional-projection-hinge
36,1.865437,0.190034,12.68,conditional-projection-hinge
37,1.866187,0.189510,12.70,conditional-projection-hinge
38,1.865900,0.182929,12.61,conditional-projection-hinge
39,1.866572,0.181037,12.59,conditional-projection-hinge
40,1.866739,0.164512,12.50,conditional-projection-hinge
41,1.864263,0.183766,12.62,conditional-projection-hinge
42,1.866262,0.184478,12.70,conditional-projection-hinge
43,1.867013,0.187778,12.55,conditional-projection-hinge
44,1.869300,0.156882,12.61,conditional-projection-hinge
45,1.867076,0.164450,12.25,conditional-projection-hinge
46,1.868823,0.178715,12.51,conditional-projection-hinge
47,1.869359,0.163179,12.51,conditional-projection-hinge
48,1.868339,0.161618,13.10,conditional-projection-hinge
49,1.869889,0.165872,12.57,conditional-projection-hinge
50,1.869779,0.158454,12.56,conditional-projection-hinge
51,1.869753,0.165720,12.55,conditional-projection-hinge
52,1.870640,0.160888,12.51,conditional-projection-hinge
53,1.870711,0.149389,12.57,conditional-projection-hinge
54,1.871876,0.191672,12.73,conditional-projection-hinge
55,1.874019,0.182422,12.43,conditional-projection-hinge
56,1.871261,0.186557,12.51,conditional-projection-hinge
57,1.875288,0.173829,12.60,conditional-projection-hinge
58,1.872390,0.171252,12.70,conditional-projection-hinge
59,1.874782,0.150299,12.57,conditional-projection-hinge
60,1.874476,0.178233,12.55,conditional-projection-hinge
61,1.875714,0.170789,12.56,conditional-projection-hinge
62,1.875160,0.141844,12.54,conditional-projection-hinge
63,1.875441,0.145025,12.52,conditional-projection-hinge
64,1.875416,0.166110,12.50,conditional-projection-hinge
65,1.875841,0.160664,12.64,conditional-projection-hinge
66,1.873677,0.163171,12.70,conditional-projection-hinge
67,1.878124,0.164350,12.62,conditional-projection-hinge
68,1.875154,0.172447,12.62,conditional-projection-hinge
69,1.876125,0.163872,12.54,conditional-projection-hinge
70,1.876270,0.158292,12.48,conditional-projection-hinge
71,1.877203,0.169065,12.50,conditional-projection-hinge
72,1.877547,0.180942,12.66,conditional-projection-hinge
73,1.877140,0.165256,12.81,conditional-projection-hinge
74,1.876547,0.168562,12.63,conditional-projection-hinge
75,1.877697,0.156707,12.55,conditional-projection-hinge
76,1.877725,0.160037,12.53,conditional-projection-hinge
77,1.878350,0.165429,12.43,conditional-projection-hinge
78,1.878483,0.179967,12.64,conditional-projection-hinge
79,1.878497,0.160745,12.58,conditional-projection-hinge
80,1.877970,0.151907,12.50,conditional-projection-hinge
81,1.878456,0.176044,12.68,conditional-projection-hinge
82,1.878144,0.181938,12.68,conditional-projection-hinge
83,1.880218,0.173626,12.65,conditional-projection-hinge
84,1.879207,0.165134,12.50,conditional-projection-hinge
85,1.878901,0.149371,12.70,conditional-projection-hinge
86,1.878018,0.160915,12.57,conditional-projection-hinge
87,1.880650,0.156066,12.43,conditional-projection-hinge
88,1.878187,0.187211,12.55,conditional-projection-hinge
89,1.877626,0.169609,12.55,conditional-projection-hinge
90,1.878648,0.166189,12.33,conditional-projection-hinge
91,1.878951,0.163388,12.46,conditional-projection-hinge
92,1.880708,0.164529,12.67,conditional-projection-hinge
93,1.879082,0.164217,12.57,conditional-projection-hinge
94,1.878578,0.140323,12.53,conditional-projection-hinge
95,1.879902,0.149887,12.60,conditional-projection-hinge
96,1.879929,0.161629,12.58,conditional-projection-hinge
97,1.880759,0.177468,12.53,conditional-projection-hinge
98,1.879852,0.157085,12.60,conditional-projection-hinge
99,1.881544,0.146061,12.54,conditional-projection-hinge
100,1.880208,0.176843,12.61,conditional-projection-hinge
