epoch,d_loss,g_loss,seconds,gan_type
1,1.753072,0.199558,37.60,conditional-resnet-hinge
2,1.605110,0.361168,36.40,conditional-resnet-hinge
3,1.589494,0.363610,36.45,conditional-resnet-hinge
4,1.769060,0.285436,35.93,conditional-resnet-hinge
5,1.781254,0.287575,35.82,conditional-resnet-hinge
6,1.785591,0.271418,36.18,conditional-resnet-hinge
7,1.796412,0.278078,36.39,conditional-resnet-hinge
8,1.813507,0.292177,35.91,conditional-resnet-hinge
9,1.847360,0.282835,35.77,conditional-resnet-hinge
10,1.869739,0.253575,35.95,conditional-resnet-hinge
11,1.881966,0.243241,36.38,conditional-resnet-hinge
12,1.884688,0.247694,36.06,conditional-resnet-hinge
13,1.896904,0.221953,35.77,conditional-resnet-hinge
14,1.893652,0.209775,36.02,conditional-resnet-hinge
15,1.887916,0.215506,36.06,conditional-resnet-hinge
16,1.891767,0.206735,35.90,conditional-resnet-hinge
17,1.888730,0.220767,35.63,conditional-resnet-hinge
18,1.890758,0.195073,35.28,conditional-resnet-hinge
19,1.896767,0.175094,30.50,conditional-resnet-hinge
20,1.900859,0.181611,35.23,conditional-resnet-hinge
21,1.904450,0.190852,35.07,conditional-resnet-hinge
22,1.909284,0.180775,35.27,conditional-resnet-hinge
23,1.911968,0.183289,35.83,conditional-resnet-hinge
24,1.912633,0.160569,35.39,conditional-resnet-hinge
25,1.924153,0.141492,36.11,conditional-resnet-hinge
26,1.921480,0.158987,35.41,conditional-resnet-hinge
27,1.921402,0.154059,36.13,conditional-resnet-hinge
28,1.923984,0.149136,36.08,conditional-resnet-hinge
29,1.928571,0.178988,36.24,conditional-resnet-hinge
30,1.931582,0.140018,35.87,conditional-resnet-hinge
31,1.927231,0.155874,36.24,conditional-resnet-hinge
32,1.926097,0.169187,35.81,conditional-resnet-hinge
33,1.928657,0.157864,36.59,conditional-resnet-hinge
34,1.924749,0.150301,36.10,conditional-resnet-hinge
35,1.931529,0.167254,35.69,conditional-resnet-hinge
36,1.933023,0.178623,36.39,conditional-resnet-hinge
37,1.942214,0.157658,36.34,conditional-resnet-hinge
38,1.932143,0.176170,36.20,conditional-resnet-hinge
39,1.940206,0.169637,36.32,conditional-resnet-hinge
40,1.937181,0.153662,36.26,conditional-resnet-hinge
41,1.950885,0.125698,36.31,conditional-resnet-hinge
42,1.952452,0.123441,36.10,conditional-resnet-hinge
43,1.949893,0.156562,36.27,conditional-resnet-hinge
44,1.948633,0.136265,37.01,conditional-resnet-hinge
45,1.951990,0.137248,36.87,conditional-resnet-hinge
46,1.942292,0.167714,36.86,conditional-resnet-hinge
47,1.944351,0.140821,36.86,conditional-resnet-hinge
48,1.945265,0.130401,36.95,conditional-resnet-hinge
49,1.948291,0.151515,36.79,conditional-resnet-hinge
50,1.951818,0.115673,36.82,conditional-resnet-hinge
51,1.959572,0.131833,36.82,conditional-resnet-hinge
52,1.955002,0.132987,36.82,conditional-resnet-hinge
53,1.953677,0.150135,32.84,conditional-resnet-hinge
54,1.965797,0.138824,36.68,conditional-resnet-hinge
55,1.971018,0.134936,36.86,conditional-resnet-hinge
56,1.973565,0.097255,36.93,conditional-resnet-hinge
57,1.969682,0.134431,36.57,conditional-resnet-hinge
58,1.968366,0.123769,36.82,conditional-resnet-hinge
59,1.962658,0.107192,36.74,conditional-resnet-hinge
60,1.979647,0.055321,36.24,conditional-resnet-hinge
61,1.980575,0.086274,36.62,conditional-resnet-hinge
62,1.988967,0.121566,36.77,conditional-resnet-hinge
63,1.989840,0.088555,36.60,conditional-resnet-hinge
64,1.985074,0.077905,36.85,conditional-resnet-hinge
65,1.994624,0.080038,37.10,conditional-resnet-hinge
66,2.002491,0.100454,36.34,conditional-resnet-hinge
67,2.002112,0.009318,34.98,conditional-resnet-hinge
68,2.000739,-0.008133,36.92,conditional-resnet-hinge
69,2.000318,-0.044259,37.33,conditional-resnet-hinge
70,2.000088,-0.063786,34.81,conditional-resnet-hinge
71,2.000048,-0.114574,36.87,conditional-resnet-hinge
72,2.000024,-0.099707,36.72,conditional-resnet-hinge
73,2.000017,-0.141631,36.37,conditional-resnet-hinge
