epoch,d_loss,g_loss,seconds,gan_type
1,0.459055,4.881575,7.33,dcgan
2,0.331722,4.821036,6.70,dcgan
3,0.385622,3.788782,6.91,dcgan
4,0.442245,3.445558,6.89,dcgan
5,0.500349,3.293612,6.89,dcgan
6,0.637659,2.541947,6.88,dcgan
7,0.702402,2.368198,6.98,dcgan
8,0.696300,2.479479,6.91,dcgan
9,0.708471,2.540286,6.88,dcgan
10,0.712517,2.421693,6.55,dcgan
11,0.695741,2.302857,6.37,dcgan
12,0.732247,2.325390,6.34,dcgan
13,0.728702,2.174887,6.29,dcgan
14,0.741527,2.182703,6.37,dcgan
15,0.730595,2.133704,6.30,dcgan
16,0.838810,2.045743,6.28,dcgan
17,0.770712,2.047472,6.25,dcgan
18,0.779790,2.035434,6.34,dcgan
19,0.771981,1.990879,6.30,dcgan
20,0.822416,2.092202,6.30,dcgan
21,0.787364,2.001375,6.29,dcgan
22,0.768229,1.998617,6.32,dcgan
23,0.805105,2.011814,6.35,dcgan
24,0.821060,2.021636,6.34,dcgan
25,0.802210,2.014553,6.26,dcgan
26,0.773895,1.989331,6.28,dcgan
27,0.794826,1.989259,6.26,dcgan
28,0.829677,1.976684,6.33,dcgan
29,0.877311,1.943467,6.32,dcgan
30,0.794945,1.942944,6.28,dcgan
31,0.817244,1.969378,6.35,dcgan
32,0.809051,1.982085,6.46,dcgan
33,0.814102,1.973566,6.65,dcgan
34,0.808834,1.953668,7.00,dcgan
35,0.750821,1.989362,6.73,dcgan
36,0.806306,2.022720,6.88,dcgan
37,0.729274,2.043693,6.58,dcgan
38,0.801047,2.038353,6.43,dcgan
39,0.739147,2.041033,6.61,dcgan
40,0.693958,2.135057,6.10,dcgan
41,0.783782,2.101296,6.32,dcgan
42,0.688244,2.140570,6.71,dcgan
43,0.691925,2.156889,7.30,dcgan
44,0.710513,2.194811,7.39,dcgan
45,0.673139,2.239273,7.48,dcgan
46,0.651927,2.247130,7.70,dcgan
47,0.659180,2.269072,7.54,dcgan
48,0.685928,2.298578,7.30,dcgan
49,0.612729,2.287975,7.16,dcgan
50,0.623937,2.342252,7.22,dcgan
51,0.685768,2.329405,7.14,dcgan
52,0.609139,2.363928,7.24,dcgan
53,0.714102,2.413841,7.38,dcgan
54,0.569200,2.353962,7.11,dcgan
55,0.635942,2.419445,7.06,dcgan
56,0.629645,2.416676,7.09,dcgan
57,0.647206,2.395527,7.23,dcgan
58,0.536567,2.470331,7.20,dcgan
59,0.636763,2.502207,7.31,dcgan
60,0.527098,2.491889,7.23,dcgan
61,0.644234,2.491946,7.35,dcgan
62,0.599149,2.590885,7.27,dcgan
63,0.569871,2.509358,7.26,dcgan
64,0.492054,2.570127,7.42,dcgan
65,0.664056,2.571594,7.26,dcgan
66,0.563570,2.611258,7.13,dcgan
67,0.494746,2.600672,7.24,dcgan
68,0.604373,2.621684,7.16,dcgan
69,0.520975,2.626108,6.95,dcgan
70,0.565549,2.628132,7.39,dcgan
71,0.630995,2.661281,7.78,dcgan
72,0.476771,2.687413,7.61,dcgan
73,0.487498,2.693498,7.42,dcgan
74,0.535792,2.742068,7.14,dcgan
75,0.545800,2.725012,6.98,dcgan
76,0.470767,2.776721,7.06,dcgan
77,0.526107,2.780557,7.08,dcgan
78,0.468534,2.824865,7.19,dcgan
79,0.565141,2.853047,7.04,dcgan
80,0.498816,2.823796,7.00,dcgan
81,0.451379,2.827439,7.20,dcgan
82,0.491020,2.914894,6.99,dcgan
83,0.524798,2.916296,7.10,dcgan
84,0.508736,2.903964,6.96,dcgan
85,0.501274,2.828379,7.10,dcgan
86,0.454978,2.944736,6.95,dcgan
87,0.488407,2.937689,7.51,dcgan
88,0.539568,2.896313,7.47,dcgan
89,0.425694,2.926052,7.70,dcgan
90,0.515536,2.960983,7.31,dcgan
91,0.347169,3.008759,7.36,dcgan
92,0.572589,2.944768,7.12,dcgan
93,0.461159,2.995681,6.93,dcgan
94,0.419365,3.045821,7.05,dcgan
95,0.489848,3.022442,6.99,dcgan
96,0.530349,2.999874,7.14,dcgan
97,0.424335,3.048168,6.88,dcgan
98,0.417229,3.091470,7.21,dcgan
99,0.331387,3.161470,7.01,dcgan
100,0.547405,3.115608,7.11,dcgan
