epoch,d_loss,g_loss,seconds,gan_type
1,0.563840,6.028868,13.20,dcgan
2,0.524347,4.162460,8.81,dcgan
3,0.559776,3.838953,9.13,dcgan
4,0.565457,3.374019,8.74,dcgan
5,0.485288,3.579323,8.85,dcgan
6,0.619849,3.067969,8.76,dcgan
7,0.715128,2.860519,8.57,dcgan
8,0.767810,2.701849,8.94,dcgan
9,0.713594,2.623945,8.80,dcgan
10,0.672842,2.713248,9.12,dcgan
11,0.691033,2.636908,9.12,dcgan
12,0.748048,2.569518,8.72,dcgan
13,0.732315,2.422716,8.73,dcgan
14,0.811905,2.346814,8.97,dcgan
15,0.786550,2.254135,9.07,dcgan
16,0.862716,2.244173,8.73,dcgan
17,0.796392,2.169963,8.67,dcgan
18,0.813092,2.235967,8.62,dcgan
19,0.808642,2.189061,8.95,dcgan
20,0.832229,2.214915,8.94,dcgan
21,0.844815,2.175035,8.55,dcgan
22,0.804650,2.213298,9.17,dcgan
23,0.817121,2.219451,8.94,dcgan
24,0.770902,2.243073,8.78,dcgan
25,0.768558,2.286916,8.85,dcgan
26,0.758112,2.306152,9.02,dcgan
27,0.746452,2.302717,8.94,dcgan
28,0.788611,2.318640,8.97,dcgan
29,0.716146,2.343259,8.77,dcgan
30,0.756104,2.388542,8.63,dcgan
31,0.737115,2.338303,8.73,dcgan
32,0.695830,2.387303,9.08,dcgan
33,0.695459,2.431490,8.83,dcgan
34,0.721562,2.445355,8.68,dcgan
35,0.697230,2.446396,8.62,dcgan
36,0.641732,2.501234,9.06,dcgan
37,0.670196,2.554452,8.74,dcgan
38,0.748571,2.481644,8.85,dcgan
39,0.675978,2.515384,8.65,dcgan
40,0.566577,2.537261,8.76,dcgan
41,0.599266,2.643141,8.76,dcgan
42,0.734485,2.577252,8.80,dcgan
43,0.611422,2.614940,8.98,dcgan
44,0.630612,2.651374,8.79,dcgan
45,0.655451,2.670240,8.89,dcgan
46,0.562966,2.661589,8.78,dcgan
47,0.577359,2.715891,8.68,dcgan
48,0.574064,2.785304,8.76,dcgan
49,0.680966,2.713510,8.94,dcgan
50,0.556546,2.746248,9.11,dcgan
51,0.590844,2.761379,8.86,dcgan
52,0.695884,2.692333,8.82,dcgan
53,0.581065,2.745226,8.64,dcgan
54,0.545490,2.789176,9.07,dcgan
55,0.696400,2.761240,8.72,dcgan
56,0.501684,2.805955,8.80,dcgan
57,0.548530,2.854779,8.73,dcgan
58,0.667816,2.838287,9.15,dcgan
59,0.512317,2.836904,8.85,dcgan
60,0.513925,2.882275,8.52,dcgan
61,0.550796,2.921757,8.60,dcgan
62,0.499192,2.980477,8.66,dcgan
63,0.541523,2.924465,8.60,dcgan
64,0.577330,3.045869,8.40,dcgan
65,0.472137,2.987345,8.53,dcgan
66,0.464380,3.094594,8.58,dcgan
67,0.541186,3.068679,8.46,dcgan
68,0.748098,2.979576,8.48,dcgan
69,0.478881,2.941803,8.48,dcgan
70,0.489266,3.053825,8.41,dcgan
71,0.581499,2.987709,8.37,dcgan
72,0.424688,3.083906,8.48,dcgan
73,0.504117,3.107577,8.61,dcgan
74,0.445053,3.185979,8.52,dcgan
75,0.555703,3.129171,8.48,dcgan
76,0.704120,3.059564,8.36,dcgan
77,0.344651,3.138145,7.85,dcgan
78,0.554641,3.096347,7.43,dcgan
79,0.442023,3.189549,7.87,dcgan
80,0.448298,3.283358,8.00,dcgan
81,0.443314,3.332745,7.94,dcgan
82,0.436364,3.274201,8.10,dcgan
83,0.450759,3.263978,8.95,dcgan
84,0.969590,2.842308,9.42,dcgan
85,0.355831,3.189425,8.88,dcgan
86,0.369281,3.367757,9.38,dcgan
87,0.445776,3.296498,8.89,dcgan
88,0.366383,3.422184,9.33,dcgan
89,0.543073,3.385506,8.95,dcgan
90,0.337185,3.368040,9.40,dcgan
91,0.422973,3.447631,8.97,dcgan
92,0.624019,3.287629,9.40,dcgan
93,0.323701,3.441392,8.90,dcgan
94,0.522814,3.432607,9.37,dcgan
95,0.304010,3.506899,9.00,dcgan
96,0.546876,3.363469,9.48,dcgan
97,0.292289,3.585784,9.14,dcgan
98,0.454464,3.550594,9.35,dcgan
99,0.365017,3.641464,8.85,dcgan
100,0.461426,3.468608,9.36,dcgan
