epoch,d_loss,g_loss,seconds,gan_type
1,0.440223,4.958255,12.36,dcgan
2,0.380622,4.198693,6.97,dcgan
3,0.474397,3.722211,6.87,dcgan
4,0.408758,3.414215,6.96,dcgan
5,0.506317,3.314107,7.11,dcgan
6,0.602092,2.660925,6.77,dcgan
7,0.676497,2.522703,6.87,dcgan
8,0.657993,2.492347,6.95,dcgan
9,0.689519,2.490381,7.00,dcgan
10,0.722091,2.451217,6.94,dcgan
11,0.657411,2.478333,6.77,dcgan
12,0.730322,2.350609,7.01,dcgan
13,0.637042,2.371664,6.95,dcgan
14,0.757116,2.210003,6.80,dcgan
15,0.708545,2.159366,7.17,dcgan
16,0.759296,2.090498,6.93,dcgan
17,0.765749,2.086885,6.81,dcgan
18,0.760875,1.992703,6.91,dcgan
19,0.819048,2.064248,6.95,dcgan
20,0.753583,2.002494,6.71,dcgan
21,0.830733,1.975390,7.12,dcgan
22,0.797120,1.979083,7.21,dcgan
23,0.816573,1.985362,6.91,dcgan
24,0.816490,1.963016,6.69,dcgan
25,0.803978,1.963000,6.96,dcgan
26,0.810951,1.924627,7.07,dcgan
27,0.802309,1.952970,7.09,dcgan
28,0.884399,1.917507,6.94,dcgan
29,0.793916,1.941319,7.07,dcgan
30,0.774505,1.961950,6.89,dcgan
31,0.869718,1.979325,7.18,dcgan
32,0.753344,1.992083,7.07,dcgan
33,0.785601,2.005094,6.95,dcgan
34,0.758819,2.007766,7.15,dcgan
35,0.754827,2.072010,7.06,dcgan
36,0.752432,2.060290,6.74,dcgan
37,0.734472,2.063345,7.21,dcgan
38,0.796541,2.113317,7.00,dcgan
39,0.685368,2.128658,7.10,dcgan
40,0.682749,2.152936,7.01,dcgan
41,0.777800,2.178358,7.01,dcgan
42,0.642769,2.162153,7.09,dcgan
43,0.751825,2.270433,6.85,dcgan
44,0.680737,2.121534,6.99,dcgan
45,0.593459,2.268477,7.04,dcgan
46,0.759102,2.232483,7.03,dcgan
47,0.604620,2.278987,7.04,dcgan
48,0.665919,2.343019,6.94,dcgan
49,0.620936,2.335171,7.04,dcgan
50,0.630924,2.319548,6.68,dcgan
