epoch,d_loss,g_loss,seconds,gan_type
1,0.170542,0.436627,10.21,dcgan
2,0.152957,0.365339,9.08,dcgan
3,0.211079,0.261054,8.95,dcgan
4,0.193501,0.288178,9.01,dcgan
5,0.215183,0.241697,8.97,dcgan
6,0.202370,0.242749,8.89,dcgan
7,0.201609,0.243648,8.99,dcgan
8,0.204591,0.226121,9.05,dcgan
9,0.208003,0.235681,9.07,dcgan
10,0.209464,0.224040,9.09,dcgan
11,0.213679,0.220353,8.94,dcgan
12,0.224006,0.207336,8.96,dcgan
13,0.219035,0.205680,8.92,dcgan
14,0.219346,0.207485,9.02,dcgan
15,0.221040,0.205844,8.93,dcgan
16,0.225470,0.192953,8.95,dcgan
17,0.222910,0.193862,8.95,dcgan
18,0.222288,0.194079,9.03,dcgan
19,0.219832,0.199337,9.09,dcgan
20,0.215407,0.203637,8.96,dcgan
21,0.212980,0.201211,8.94,dcgan
22,0.218364,0.204062,8.94,dcgan
23,0.217478,0.197935,8.87,dcgan
24,0.206128,0.206310,8.91,dcgan
25,0.211353,0.208672,8.96,dcgan
26,0.210103,0.201064,8.99,dcgan
27,0.209943,0.202399,8.71,dcgan
28,0.209041,0.200748,8.17,dcgan
29,0.210227,0.201392,8.99,dcgan
30,0.208802,0.204781,9.03,dcgan
31,0.205694,0.207028,9.13,dcgan
32,0.209846,0.203428,8.89,dcgan
33,0.207055,0.205932,8.89,dcgan
34,0.217823,0.204400,8.89,dcgan
35,0.202207,0.203805,8.86,dcgan
36,0.206067,0.206400,8.71,dcgan
37,0.199906,0.205515,8.80,dcgan
38,0.204839,0.206488,8.87,dcgan
39,0.208409,0.208968,9.10,dcgan
40,0.203165,0.204826,8.78,dcgan
41,0.198908,0.207195,8.86,dcgan
42,0.207371,0.204186,8.90,dcgan
43,0.199040,0.207889,8.93,dcgan
44,0.207309,0.202249,8.94,dcgan
45,0.203068,0.209063,8.81,dcgan
46,0.195212,0.208549,9.30,dcgan
47,0.195401,0.215597,9.06,dcgan
48,0.202014,0.207850,8.94,dcgan
49,0.203823,0.213248,8.91,dcgan
50,0.199862,0.208089,8.92,dcgan
51,0.208766,0.203679,8.91,dcgan
52,0.194195,0.214697,8.88,dcgan
53,0.195395,0.212809,9.09,dcgan
54,0.200696,0.211602,8.93,dcgan
55,0.195032,0.210839,8.97,dcgan
56,0.200988,0.217409,9.15,dcgan
57,0.201240,0.210565,9.42,dcgan
58,0.202886,0.210821,9.21,dcgan
59,0.191980,0.214847,9.37,dcgan
60,0.193060,0.216505,9.44,dcgan
61,0.197740,0.212659,9.22,dcgan
62,0.189337,0.213687,9.19,dcgan
63,0.190938,0.221435,9.26,dcgan
64,0.199275,0.218500,9.22,dcgan
65,0.197268,0.212379,9.30,dcgan
66,0.193889,0.211036,9.36,dcgan
67,0.192642,0.217762,9.19,dcgan
68,0.189395,0.220933,9.41,dcgan
69,0.190504,0.222296,9.01,dcgan
70,0.186161,0.220925,9.41,dcgan
71,0.198350,0.223315,9.29,dcgan
72,0.194114,0.218332,9.19,dcgan
73,0.187213,0.223717,9.37,dcgan
74,0.189467,0.218141,9.31,dcgan
75,0.194313,0.229678,9.25,dcgan
76,0.194592,0.215886,9.18,dcgan
77,0.185864,0.222811,9.24,dcgan
78,0.211689,0.226156,9.30,dcgan
79,0.224255,0.191409,9.21,dcgan
80,0.195000,0.216223,9.19,dcgan
81,0.180980,0.218059,9.17,dcgan
82,0.187477,0.223014,9.16,dcgan
83,0.190478,0.222533,9.20,dcgan
84,0.190973,0.218642,9.47,dcgan
85,0.183486,0.222571,9.92,dcgan
86,0.188754,0.220723,10.17,dcgan
87,0.189536,0.221939,10.34,dcgan
88,0.182969,0.223293,10.13,dcgan
89,0.185867,0.227259,9.88,dcgan
90,0.181863,0.226354,10.07,dcgan
91,0.185256,0.231611,9.99,dcgan
92,0.189486,0.219024,9.63,dcgan
93,0.190729,0.223597,9.31,dcgan
94,0.190324,0.224082,9.10,dcgan
95,0.184004,0.226722,9.17,dcgan
96,0.197866,0.222990,9.27,dcgan
97,0.183724,0.227430,9.36,dcgan
98,0.179434,0.222911,9.27,dcgan
99,0.184604,0.230720,9.19,dcgan
100,0.172032,0.239273,9.28,dcgan
