epoch,d_loss,g_loss,seconds,gan_type
1,-9.399132,11.681472,9.85,wgan-gp
2,-8.157842,8.501315,8.04,wgan-gp
3,-4.615846,3.475499,8.07,wgan-gp
4,-3.790342,4.505169,7.82,wgan-gp
5,-3.612994,5.273348,7.72,wgan-gp
6,-3.733547,5.956844,7.89,wgan-gp
7,-3.911707,6.228898,7.93,wgan-gp
8,-3.964804,6.105274,7.91,wgan-gp
9,-4.089410,5.793052,7.87,wgan-gp
10,-4.061813,5.183035,7.94,wgan-gp
11,-4.785995,4.351136,8.00,wgan-gp
12,-5.668408,3.058194,8.19,wgan-gp
13,-52.361444,10.984102,8.04,wgan-gp
14,-117.845978,31.438350,7.96,wgan-gp
15,-107.729300,43.083978,8.02,wgan-gp
16,886.843705,48.961401,7.95,wgan-gp
17,142.475601,46.098522,8.00,wgan-gp
18,-8.309787,25.205584,7.91,wgan-gp
19,-7.536109,15.379427,7.96,wgan-gp
20,-3.639271,10.846389,8.00,wgan-gp
21,-2.741741,10.997275,7.96,wgan-gp
22,-2.771318,9.686141,8.32,wgan-gp
23,-2.563882,8.224126,8.04,wgan-gp
24,-2.424703,7.820878,8.04,wgan-gp
25,-2.362519,7.763924,8.01,wgan-gp
26,-2.360677,8.522245,7.92,wgan-gp
27,-2.354830,8.922228,7.82,wgan-gp
28,-2.358043,10.144670,8.06,wgan-gp
29,-2.346941,10.546748,8.02,wgan-gp
30,-2.379309,11.140292,8.08,wgan-gp
31,-2.308928,11.680787,7.99,wgan-gp
32,-2.341703,12.233075,8.05,wgan-gp
33,-2.336658,12.888567,7.88,wgan-gp
34,-2.382508,13.126561,7.94,wgan-gp
35,-2.402693,13.658785,7.95,wgan-gp
36,-2.420118,14.143320,7.92,wgan-gp
37,-2.473968,13.512029,7.82,wgan-gp
38,-2.588454,14.340497,7.93,wgan-gp
39,-2.442725,14.023124,8.00,wgan-gp
40,-2.552943,13.907946,7.95,wgan-gp
41,-2.561782,13.776924,7.99,wgan-gp
42,-2.478059,14.233872,8.02,wgan-gp
43,-2.580424,13.797939,7.95,wgan-gp
44,-2.596490,13.804068,8.13,wgan-gp
45,-2.690054,14.179014,7.97,wgan-gp
46,-2.561333,14.662745,7.97,wgan-gp
47,-2.524467,15.128777,7.89,wgan-gp
48,-2.427097,14.520392,8.10,wgan-gp
49,-2.428753,14.814517,7.93,wgan-gp
50,-2.378540,14.442466,7.91,wgan-gp
